objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,snMedian,low_z
1237648720142008515,145.821638182128,-0.846601885046273,5.089256,0.06770252,GALAXY,20.05802,18.35321,17.54987,17.15258,16.86671,0.07613668,0.01041044,0.007362394,0.007729872,0.02027678,10.20291,True
1237648720142008580,145.818101273901,-0.878973095843891,5.040677,0.2045784,GALAXY,20.68866,18.55757,17.21298,16.66901,16.32187,0.156786,0.01448036,0.006869894,0.006444947,0.01518092,11.13883,False
1237648720142073942,145.853157594108,-0.997063559085189,3.825139,0.1448017,GALAXY,20.61629,18.63789,17.54523,17.09494,16.7594,0.09903547,0.01131102,0.00669298,0.006630015,0.01533615,13.57714,False
1237648720142073959,145.892309469118,-1.02264988945927,4.531637,0.153699,GALAXY,20.39159,18.22442,17.0139,16.50938,16.11972,0.09698515,0.009496787,0.005328335,0.005128764,0.0110142,16.28147,False
1237648720142270656,146.432797355117,-0.987378009062472,3.590598,0.1404723,GALAXY,20.43741,18.42003,17.31446,16.85592,16.49146,0.08192131,0.009216757,0.005610146,0.005560924,0.01189375,15.94299,False
1237648720142336185,146.51281767756,-0.84578295276744,9.461358,0.06490172,GALAXY,17.37162,16.17903,15.5015,15.05806,14.78616,0.01564752,0.003873545,0.003227174,0.003246894,0.006836015,24.35292,True
1237648720142336237,146.571322012569,-0.957206943582653,8.935108,0.06518305,GALAXY,18.5427,17.0509,16.25521,15.79538,15.45037,0.0293057,0.00538617,0.004148107,0.00415204,0.008886985,16.72298,True
1237648720142401611,146.71420341856,-1.0412749005298,6.802569,0.02122228,GALAXY,17.15123,15.49701,14.67864,14.23418,13.90272,0.01122162,0.002654127,0.002265976,0.002264905,0.003597013,39.04678,True
1237648720678944894,145.874449045454,-0.608755056278409,9.828067,0.07158983,GALAXY,18.19744,16.69651,16.01479,15.6421,15.39185,0.02961626,0.004874988,0.004002074,0.004050142,0.0103491,15.69197,True
1237648721215946942,146.299838928994,-0.119995463758507,11.49119,0.03070351,GALAXY,17.86945,15.94067,14.97828,14.50247,14.08414,0.02741044,0.003861392,0.00283578,0.002809787,0.005552459,26.85927,True
1237648721216012470,146.355772780303,-0.143371261096292,4.081334,0.03073909,GALAXY,19.26396,17.1978,16.1452,15.62739,15.22929,0.03728969,0.004890693,0.003478936,0.003373372,0.006226079,30.57539,True
1237648721216078045,146.46890559991,-0.0928280403032654,19.43667,0.06251308,GALAXY,18.24334,15.90764,14.76567,14.24774,13.84864,0.03803933,0.003762159,0.002529368,0.002462124,0.004748463,30.2524,True
1237648721216340148,147.114591554148,-0.165218456679618,5.58013,0.2040574,GALAXY,20.98722,18.93068,17.52631,16.9907,16.57426,0.1557563,0.01492795,0.00716024,0.006733285,0.01609232,12.26061,False
1237648722289623054,146.020908346966,0.733551670883614,11.13455,0.03617733,GALAXY,17.41963,15.3452,14.35107,13.86729,13.50864,0.01574321,0.002621706,0.002099447,0.002100409,0.003133206,43.43944,True
1237648722291196127,149.723234355671,0.687529259219127,6.313275,0.0928099,GALAXY,19.1329,17.13325,16.15341,15.72236,15.35541,0.03790745,0.005030682,0.003596706,0.003688835,0.006825032,26.78037,True
1237648722294341804,156.808492511597,0.680495209697565,4.967438,0.1780913,GALAXY,19.76463,18.244,17.24188,16.75132,16.341,0.06360468,0.009876074,0.006595537,0.006717079,0.01401256,10.81797,False
1237648722828001501,149.587848876356,1.09311573929049,4.412508,0.1252315,GALAXY,19.52968,17.55491,16.49394,16.0624,15.70407,0.04906774,0.005872034,0.004010917,0.004073554,0.008019435,23.24888,False
1237648722831343722,157.120617358163,1.24986386241418,6.791614,0.02231555,GALAXY,18.16587,17.09403,16.67676,16.44368,16.25431,0.02111245,0.005172913,0.005029314,0.005812761,0.01450125,12.67784,True
1237648722831409199,157.375395832283,1.06004715475755,5.323472,0.02852034,GALAXY,17.49069,16.49554,16.02676,15.79563,15.6379,0.01241352,0.003617587,0.00336934,0.003696245,0.007993946,24.53307,True
1237650795146379400,146.360351015129,-0.816688562091616,3.100863,0.1274091,GALAXY,20.11011,18.29478,17.22196,16.76631,16.4086,0.06380247,0.007927127,0.005297996,0.004888127,0.009945044,18.07348,False
1237650795683250311,146.352081032659,-0.332714228931448,3.717609,0.05217639,GALAXY,18.7357,17.24859,16.49056,16.0216,15.72145,0.02252098,0.004463417,0.003662524,0.003515262,0.007110303,27.82041,True
1237650795683250319,146.365416186714,-0.343545399581245,5.046671,0.05248393,GALAXY,19.38741,17.59897,16.71058,16.18564,15.8368,0.04885488,0.006436101,0.004754985,0.004392051,0.009671335,18.80396,True
1237650795683250326,146.373795889743,-0.368444419082652,9.92126,0.05290708,GALAXY,19.39033,17.22124,16.25918,15.72034,15.37339,0.06188376,0.005826516,0.004112827,0.003806127,0.008013509,18.81373,True
1237650795683250349,146.381392930289,-0.386506983977315,6.47462,0.05260282,GALAXY,20.80243,18.26689,17.22573,16.67334,16.22806,0.1657309,0.009502374,0.006211844,0.005613827,0.01259209,11.84145,True
1237650796219859159,145.836878251523,0.00290962800514681,4.332783,0.1294907,GALAXY,20.09671,18.32299,17.23985,16.76503,16.34704,0.07985916,0.009659029,0.006252838,0.005841484,0.01405871,14.21122,False
1237650796220055738,146.300865259767,0.0354782948125222,4.627979,0.021758,GALAXY,17.80842,16.67454,16.06488,15.77567,15.53736,0.01340442,0.003587681,0.003230524,0.003287345,0.007326534,29.20834,True
1237651752384856377,146.13154382869,0.841162725075002,6.465509,0.1224185,GALAXY,20.50978,17.8382,16.84991,16.375,16.02099,0.2596637,0.01144497,0.007474356,0.007356404,0.0189123,11.00474,False
1237651752384921745,146.1597679618,0.840692804265108,6.993592,0.1221189,GALAXY,19.42594,17.41061,16.26919,15.78316,15.36316,0.07757571,0.007604642,0.004699329,0.004512054,0.0099933,19.14838,False
1237651752921792685,146.206295735387,1.14829020130248,5.081462,0.1232023,GALAXY,20.19852,17.9651,16.77356,16.25899,15.81169,0.1100779,0.00843396,0.005215329,0.00478459,0.009981608,18.98822,False
1237651801770688761,149.370249995155,0.588197408911514,4.990515,0.04639048,GALAXY,18.80637,16.94897,16.08522,15.69083,15.40739,0.03359031,0.0048226,0.003730101,0.003853346,0.007485512,28.40481,True
1237651801770754182,149.445764448447,0.571927228722444,4.676747,0.0387163,GALAXY,18.46333,17.53361,17.21628,16.99463,16.91978,0.02463208,0.00671451,0.007031427,0.008405979,0.02642167,14.0009,True
1237651801770754260,149.538105108262,0.600855305363429,3.514436,0.04669769,GALAXY,18.64134,17.54169,17.02921,16.73301,16.57948,0.02338047,0.005593747,0.005026777,0.005471807,0.01332368,21.40976,True
1237651801770950802,149.915558434773,0.541044720846726,14.8743,0.04483392,GALAXY,17.52063,15.86076,15.085,14.72916,14.45327,0.02373971,0.003737895,0.003106467,0.003294913,0.006818959,25.56476,True
1237651801770950893,150.003668803013,0.532255470612209,5.013844,0.08714681,GALAXY,20.23514,18.42793,17.5417,17.13688,16.84263,0.09452097,0.01119833,0.008020084,0.008367919,0.01984843,11.60398,True
1237648720143777968,149.794243153907,-0.859430542241125,4.139326,0.1045381,GALAXY,18.99221,18.03735,17.41614,17.01984,16.76277,0.03064797,0.008085384,0.00657619,0.006784076,0.01650253,12.54855,False
1237648720143843470,149.999032228241,-0.869149458440511,8.221484,0.07604031,GALAXY,18.16105,16.22465,15.32444,14.8955,14.57333,0.02152762,0.003525579,0.002725568,0.002725563,0.004885236,31.94555,True
1237648720143909041,150.184955682519,-0.899090739647758,3.340746,0.1391733,GALAXY,19.98368,18.51506,17.61439,17.16747,16.82649,0.05352889,0.009879111,0.006756996,0.006674519,0.01510615,12.97874,False
