objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237648720142008515,145.821638182128,-0.846601885046273,5.089256,0.06770252,GALAXY,20.05802,18.35321,17.54987,17.15258,16.86671,10.20291,True
1237648720142008580,145.818101273901,-0.878973095843891,5.040677,0.2045784,GALAXY,20.68866,18.55757,17.21298,16.66901,16.32187,11.13883,False
1237648720142073942,145.853157594108,-0.997063559085189,3.825139,0.1448017,GALAXY,20.61629,18.63789,17.54523,17.09494,16.7594,13.57714,False
1237648720142073959,145.892309469118,-1.02264988945927,4.531637,0.153699,GALAXY,20.39159,18.22442,17.0139,16.50938,16.11972,16.28147,False
1237648720145481973,153.76244236045,-0.997307833184848,3.391995,0.09821908,GALAXY,20.57385,18.64201,17.66163,17.22909,16.88417,11.06976,True
1237648720145547522,153.898219215873,-1.00150629900931,8.192672,0.08365821,GALAXY,19.16637,17.45534,16.65019,16.24938,15.93866,14.13568,True
1237648720145613050,153.965613866489,-0.974097497777007,5.108194,0.0702217,GALAXY,18.73285,17.45038,16.85139,16.46405,16.21558,16.49333,True
1237648720145940778,154.825417968283,-0.865715020066249,3.627925,0.09331674,GALAXY,19.87001,17.90517,16.93169,16.49078,16.11882,17.24009,True
1237648720146071815,155.098337286971,-0.861837027723311,8.300219,0.08444914,GALAXY,19.18436,17.07518,16.09289,15.62177,15.25004,21.43247,True
1237648720146137238,155.185374370507,-0.979828258186768,5.415997,0.08411594,GALAXY,18.84252,17.72303,17.26807,16.93408,16.76651,13.40524,True
1237648720146137296,155.244116026674,-0.899463576705365,4.295741,0.1011569,GALAXY,20.67787,18.69186,17.73617,17.29178,16.91313,12.34907,False
1237648720678944894,145.874449045454,-0.608755056278409,9.828067,0.07158983,GALAXY,18.19744,16.69651,16.01479,15.6421,15.39185,15.69197,True
1237648720682614942,154.334387874659,-0.600703225135134,5.826065,0.093678,GALAXY,19.55518,17.48987,16.4949,16.07404,15.69482,19.96712,True
1237648720682811556,154.717692370676,-0.618953854869631,3.257583,0.0944965,GALAXY,19.90512,17.94183,16.97393,16.52008,16.18337,18.95376,True
1237648720683598019,156.563700896966,-0.456405454834379,4.487061,0.171845,GALAXY,20.8209,18.69916,17.4192,16.9012,16.50838,13.78815,False
1237648720683598038,156.588954483896,-0.620481014304262,5.710696,0.1599996,GALAXY,20.55604,18.25263,17.03834,16.53302,16.15081,15.13812,False
1237648720683663580,156.744747644268,-0.544695552874245,5.015257,0.1686352,GALAXY,20.83597,18.67173,17.42359,16.91503,16.51079,12.71688,False
1237648720683860073,157.082977228455,-0.586564578009884,3.714273,0.1090757,GALAXY,20.0862,18.50693,17.72569,17.23736,16.90506,10.69176,False
1237648720683860113,157.16553902458,-0.617735277068687,3.917694,0.1151731,GALAXY,20.46612,18.44695,17.4618,17.01261,16.62126,10.6266,False
1237648721216078045,146.46890559991,-0.0928280403032654,19.43667,0.06251308,GALAXY,18.24334,15.90764,14.76567,14.24774,13.84864,30.2524,True
